lon,lat,depth,b1,b2,b3,b4,b5,b6,b8,b10
83.38666534,17.78333473,1.666,-5.377531881,-4.786145569,-4.11832552,-4.817185993,-4.992991387,-5.02995528,-5.038284928,-5.755484711
83.38793182,17.7863903,3.622,-5.555402265,-5.00999077,-4.356428087,-5.079700573,-5.145584368,-5.003010703,-4.999342045,-5.74361589
83.38610077,17.7836132,1.11,-4.918413811,-4.531552285,-3.965021124,-4.361260955,-4.688090457,-4.779350733,-4.795979108,-5.56559899
83.38774109,17.78630257,3.231,-5.554994316,-5.002078992,-4.34473402,-5.079519242,-5.199764911,-4.996468644,-4.992999949,-5.72090875
83.38710022,17.78079987,0.994,-5.006812684,-4.769880726,-4.101040662,-4.628898061,-5.008188149,-5.189513128,-5.165222585,-5.867000141
83.38962555,17.78646088,6.58,-5.945469339,-5.381053006,-4.829407894,-5.572050314,-5.586043824,-5.293510414,-5.332059752,-6.183787115
83.39143372,17.78065681,10.24,-5.883490511,-5.804324306,-5.423367426,-6.12031284,-6.195136258,-5.900266265,-5.872385001,-6.882961925
83.38864899,17.78376198,6.154,-5.841363085,-5.294476921,-4.799021441,-5.516556002,-5.575779039,-5.338484037,-5.396001854,-6.317569604
83.38625336,17.78108215,0.733,-4.739888571,-4.67485464,-4.070956806,-4.480484762,-4.758713914,-4.872457483,-4.945916993,-5.501353521
83.38801575,17.78593826,4.317,-5.526689456,-5.050688904,-4.559898635,-5.286248119,-5.345985286,-5.083578876,-5.084409553,-5.852703668
83.38715363,17.78477478,3.832,-5.496706063,-5.002285668,-4.364368292,-5.20987271,-5.265960155,-4.996683255,-5.005684307,-5.766838521
83.38639832,17.78487396,0.934,-4.819151588,-4.521468075,-3.896319704,-4.280866947,-4.562496103,-4.784071096,-4.785454367,-5.5749818
83.38591766,17.7839756,0.326,-4.878704468,-4.353816789,-3.811974752,-3.998394503,-4.264010855,-4.571198925,-4.449648823,-5.213355305
83.38752747,17.78440857,4.159,-5.619541529,-5.043031193,-4.477255897,-5.252138503,-5.39354017,-5.091052883,-5.098497925,-5.905351523
83.38904572,17.78511238,6.48,-5.839313628,-5.262528816,-4.768459945,-5.461270113,-5.518302945,-5.227031126,-5.264595936,-6.115095601
83.38697052,17.78540802,2.242,-5.120303975,-4.883919501,-4.194488732,-4.996955219,-5.137841131,-4.964886846,-4.926587596,-5.698633177
83.38710785,17.78143311,1.692,-5.382522906,-4.840015976,-4.131480965,-4.905054544,-5.219064576,-5.173648241,-5.210118982,-5.892979206
83.39048004,17.78699112,7.629,-6.145248407,-5.598911809,-4.972058069,-5.725019092,-5.698767546,-5.365439592,-5.40501822,-6.27757351
83.38673401,17.78161812,1.469,-5.296302827,-4.880110056,-4.239762016,-4.947774615,-5.235130369,-5.099637252,-5.086077235,-5.791611359
83.3861084,17.78442574,0.668,-4.819127133,-4.492949592,-3.860301892,-4.197888189,-4.481951552,-4.690507196,-4.70766016,-5.4914555
83.38702393,17.78215599,1.919,-5.446463872,-4.793796049,-4.134361821,-4.880822271,-5.218446597,-5.157884387,-5.18657576,-5.879486978
83.38683319,17.78179741,3.085,-5.356038414,-4.859594377,-4.243138329,-4.986194415,-5.277190067,-5.051117966,-5.120705825,-5.840934927
83.3859787,17.7817173,0.92,-5.173749105,-4.582874232,-4.005662294,-4.524253485,-4.794578763,-4.759952018,-4.893373119,-5.431559821
83.38653564,17.7806263,0.498,-5.395464062,-4.620646298,-4.022685749,-4.328341408,-4.539456095,-4.828582602,-4.916948006,-5.547548345
83.38796997,17.78268623,3.649,-5.641957135,-5.062209625,-4.49609549,-5.452525999,-5.553519571,-5.294969238,-5.35095579,-6.166902551
83.38673401,17.78188896,1.278,-5.355644222,-4.832583126,-4.17250631,-4.91064232,-5.234864094,-5.03091867,-5.085955145,-5.756022105
83.38617706,17.78207588,1.437,-5.173683163,-4.755850538,-4.137240035,-4.769444555,-5.019694674,-4.935789654,-4.987819473,-5.575676565
83.39057922,17.77994537,9.272,-6.293564825,-5.768929506,-5.244987802,-5.986688251,-6.092616686,-5.753211598,-5.828300158,-6.813546471
83.38733673,17.78459167,3.665,-5.497428622,-5.210837682,-4.569534226,-5.24339075,-5.393444192,-5.042668295,-5.037847286,-5.86554584
83.38697815,17.78586006,1.7,-4.841122419,-4.671996923,-4.10568559,-4.687393049,-4.959827347,-4.870287431,-4.909136925,-5.66618492
83.38621521,17.78514671,0.808,-4.426100999,-4.502215714,-3.88170838,-4.171590185,-4.393027103,-4.671755361,-4.601229339,-5.268686393
83.38643646,17.7808075,1.02,-5.395088288,-4.66374269,-4.062407261,-4.408703395,-4.59851555,-4.91295348,-4.98871002,-5.547551213
83.38624573,17.78054047,0.426,-4.306195624,-4.355891984,-3.819481503,-3.90936489,-4.173121469,-4.56446347,-4.26960449,-5.018579116
83.38874817,17.78394127,6.415,-5.993356571,-5.27385772,-4.792998874,-5.483352587,-5.575896551,-5.294307921,-5.405367374,-6.202256956
83.38591003,17.78361511,0.667,-4.918148618,-4.456674326,-3.76383306,-3.962983121,-4.200929911,-4.538543674,-4.37006551,-5.390006547
83.38733673,17.78432083,3.972,-5.619216186,-5.067546374,-4.522237288,-5.210224423,-5.292178065,-5.056331423,-5.04442865,-5.839993833
83.39000702,17.78681755,6.967,-6.143516854,-5.529730773,-4.935950191,-5.560456522,-5.610138564,-5.346696888,-5.37701874,-6.201937001
83.38634491,17.78071976,0.83,-4.740248713,-4.55362561,-3.981732523,-4.216912139,-4.539417114,-4.82853649,-4.828647596,-5.528767648
83.38648224,17.78369904,1.411,-5.376357935,-4.72468535,-4.152532034,-4.742717294,-5.066321851,-4.87660148,-4.915432492,-5.666538428
83.38634491,17.7806282,0.534,-4.740230804,-4.529056291,-3.939834303,-4.116881651,-4.336046966,-4.637415798,-4.737851053,-5.099433015
